low,high,loincId
HP:0000829,HP:0000843,2731-8
HP:0001662,HP:0001649,8867-4
HP:0001873,HP:0001894,777-3|26515-7
HP:0001875,HP:0011897,26499-4|751-8|26513-2|26511-6|770-8|26503-3|66139-7|74398-9|753-4|85369-7
HP:0001882,HP:0001974,6690-2|12227-5|26464-8|33256-9
HP:0001888,HP:0100827,731-0|26474-7|26478-8|736-9|737-7|13941-0|29261-5
HP:0001896,HP:0001923,11151-8|11153-4|11271-4|12250-7|13508-7|14196-0|17848-3|17849-1|31112-6|42758-3|4679-7|60474-4|40665-2
HP:0001913,HP:0032310,19023-1|20482-6
HP:0001941,HP:0001948,2753-2
HP:0001943,HP:0003074,2345-7|15074-8|2340-8|2339-0|10449-7|10450-5|10832-4|11032-0|11142-7|11143-5|12610-2|12611-0|12614-4|12615-1|12616-9|12617-7|12618-5|12619-3|12620-1|12621-9|12622-7|12623-5|12624-3|12625-0|12626-8|12627-6|12638-3|12639-1|12640-9|12641-7|12642-5|12643-3|12644-1|12645-8|12646-6|12647-4|12648-2|12649-0|12650-8|12651-6|12652-4|12653-2|12654-0|12655-7|12656-5|12657-3|12658-1|12659-9|13606-9|13607-7|13865-1|13866-9|14137-4|14743-9|14749-6|14751-2|14752-0|14753-8|14754-6|14755-3|14756-1|14757-9|14758-7|14759-5|14760-3|14761-1|14762-9|14763-7|14764-5|14765-2|14766-0|14767-8|14768-6|14769-4|14771-0|1492-8|1493-6|1494-4|1496-9|1497-7|1498-5|1499-3|14995-5|14996-3|1500-8|1501-6|1503-2|1504-0|1506-5|1507-3|1510-7|1512-3|1513-1|1514-9|1516-4|1517-2|1518-0|1520-6|1521-4|1522-2|1523-0|1524-8|1525-5|1526-3|1527-1|1528-9|1530-5|1533-9|1534-7|1535-4|1536-2|1537-0|1539-6|1540-4|1542-0|1543-8|1544-6|1547-9|1548-7|1549-5|1550-3|1551-1|1552-9|1553-7|1554-5|16165-3|16166-1|16167-9|16168-7|16169-5|16170-3|16914-4|16915-1|17865-7|18342-6|18353-3|18354-1|20436-2|20437-0|20438-8|20439-6|20440-4|20441-2|21308-2|21309-0|21310-8|25663-6|25665-1|25666-9|25668-5|25669-3|25671-9|25672-7|25673-5|25674-3|25676-8|25677-6|25679-2|25680-0|26539-7|26541-3|26543-9|26544-7|26554-6|26555-3|26695-7|26777-3|26778-1|26779-9|26780-7|26781-5|26782-3|26783-1|26817-7|26853-2|26854-0|27432-4|29329-0|29330-8|29331-6|29332-4|29412-4|30251-3|30252-1|30253-9|30263-8|30264-6|30265-3|30266-1|30267-9|30344-6|30345-3|30346-1|32319-6|32320-4|32321-2|32322-0|32359-2|32820-3|33024-1|35211-2|39561-6|39562-4|39563-2|1558-6|2341-6|41653-7|14770-2
HP:0001976,HP:0001976,27811-9
HP:0002045,HP:0001945,8310-5
HP:0002148,HP:0002905,2777-1
HP:0002615,HP:0000822,35094-2
HP:0002720,HP:0003261,2458-8
HP:0002850,HP:0003496,2472-9
HP:0002900,HP:0002153,2823-3|6298-4|39789-3
HP:0002901,HP:0003072,17861-6|12180-6|13444-5|13959-2|16526-6|17863-2|18281-6|19072-8|1996-8|38230-9|41644-6|41645-3|41646-1|42567-8|42593-4|42857-3|46099-8|47596-2|47597-0|47598-8|49765-1|17864-0|2000-8|1994-3|1995-0|29265-6
HP:0002902,HP:0003228,2951-2|2947-0|32717-1
HP:0002917,HP:0002918,19123-9|2601-3|5683-8|73572-0
HP:0002920,HP:0003154,14674-6|15042-5|16654-6|16655-3|16656-1|16657-9|16658-7|16659-5|2141-0|48091-3|48092-1|48093-9|48094-7|48095-4|48096-2|48097-0|16660-3|16661-1|16662-9|16663-7|16664-5|16665-2|16666-0|19242-7|46400-8|46401-6|46402-4|47843-8|50413-4|50414-2|50417-5|50418-3|50419-1|50420-9|50425-8|50426-6|50427-4|50428-2|50435-7|50436-5|50437-3|50438-1|50439-9|50440-7|50445-6|50446-4|50447-2|50448-0|50449-8|50450-6|50451-4|50452-2|51423-2|51696-3|54237-3|56504-4|56505-1|56506-9|56913-7|56914-5|57330-3|57725-4|58523-2|58524-0|58525-7|58526-5|58527-3|58528-1|58529-9|58530-7|58531-5|58532-3|58533-1|58534-9|58535-6|58536-4|58537-2|58538-0|58539-8|58540-6|58541-4|58542-2|58543-0|58544-8|58545-5|58546-3|58547-1|58548-9|58549-7|58550-5|58551-3|58552-1|58553-9|58554-7|58555-4|58556-2|58557-0|58558-8|58559-6|58560-4|58561-2|58562-0|58563-8|58564-6|58565-3|58566-1|58567-9|58568-7|58569-5|58570-3|58571-1|58572-9|58573-7|58574-5|58575-2|58576-0|58577-8|58578-6|58579-4|58580-2|58581-0|58582-8|58583-6|58584-4|58585-1|58586-9|58587-7|58588-5|58589-3|58590-1|58591-9|58592-7|58593-5|58594-3|58595-0|58596-8|58597-6|58598-4|58599-2|58600-8|58601-6|58602-4|58603-2|58604-0|58605-7|58606-5|58607-3|58608-1|58609-9|58610-7|58611-5|58612-3|58613-1|58614-9|58615-6|58616-4|58617-2|58618-0|58619-8|58620-6|58621-4|58622-2|58623-0|58624-8|58625-5|58626-3|58627-1|58628-9|58629-7|58630-5|58687-5|60014-8|60015-5|60016-3|66732-9|6879-1|77939-7
HP:0002921,HP:0200149,26479-6
HP:0003073,HP:0012117,1751-7|1759-0|2862-1
HP:0003075,HP:0002152,2885-2
HP:0003113,HP:0011423,2075-0|2069-3
HP:0003125,HP:0030977,3209-4
HP:0003127,HP:0002150,18488-7|1649-3|6874-2|17862-4
HP:0003146,HP:0003124,2093-3|2082-6
HP:0003162,HP:0003074,1557-8
HP:0003203,HP:0003203,50609-7
HP:0003225,HP:0011996,3193-0
HP:0003233,HP:0012184,12772-0|14646-4|18263-4|2085-9|2086-7|35197-3|49130-8|16616-5|48090-5
HP:0003282,HP:0003155,6768-6
HP:0003351,HP:0000848,2915-7
HP:0003537,HP:0002149,14933-6|35232-8|3084-1
HP:0003540,HP:0040241,34714-6
HP:0003563,HP:0003141,12773-8|13457-7|18261-8|18262-6|2089-1|22748-8|35198-1|39469-2|49132-4|55440-2|69419-0|86911-5|44915-7
HP:0003572,HP:0011966,20640-9
HP:0003658,HP:0003235,20651-6
HP:0004313,HP:0010702,10834-0
HP:0004315,HP:0003237,2465-3
HP:0004319,HP:0000859,1763-2
HP:0004322,HP:0000098,3137-7
HP:0004325,HP:0004324,3141-9
HP:0005479,HP:0003212,19113-0|13834-7
HP:0005537,HP:0011877,32623-1
HP:0005961,HP:0500153,1893-7|20637-5
HP:0008163,HP:0003118,10332-5|24389-9|24390-7|24391-5|26528-0|26529-8|26530-6|26531-4|26532-2|26533-0|26534-8|26535-5|26536-3|34065-3|34476-2|41407-8|47608-5|47850-3|49968-1|49969-9|54213-4|54215-9|9612-3|9613-1|9614-9|9615-6|2143-6|9813-7
HP:0008202,HP:0000870,2842-3
HP:0008214,HP:0025134,2243-4|35384-7
HP:0008214,HP:0025139,2258-2
HP:0008326,HP:0004340,30552-4
HP:0008348,HP:0032299,2467-9
HP:0010684,HP:0010639,15013-6|1777-2
HP:0010686,HP:0010638,15015-1|13874-3|13875-0|15348-6|15349-4
HP:0010687,HP:0010681,15014-4|1778-0
HP:0011031,HP:0025196,2500-7
HP:0011434,HP:0011433,2118-8
HP:0011900,HP:0011899,3255-7
HP:0011905,HP:0011902,4552-6
HP:0011905,HP:0040217,4548-4
HP:0011935,HP:0012611,17755-0|17756-8|18379-8|21587-1|25997-8|3086-6|3087-4|32555-5|35233-6|35253-4|42678-3|57332-9|57386-5|57387-3|58990-3|14934-4|14935-1|34385-5
HP:0011967,HP:0032254,5631-7
HP:0011972,HP:0031885,2342-4|14744-7|76669-1|76670-9|76671-7|76672-5
HP:0012052,HP:0031415,62290-2
HP:0012053,HP:0031414,46269-7|49054-0
HP:0012053,HP:0031415,1989-3|1679-0
HP:0012101,HP:0003259,2160-0|38483-4
HP:0012119,HP:0012119,15082-1
HP:0012153,HP:0002155,2571-8
HP:0012213,HP:0012214,48643-1|48642-3|33914-3
HP:0012277,HP:0002154,20644-1
HP:0012279,HP:0500138,20656-5
HP:0012312,HP:0012311,742-7|26484-6|26485-3|5905-5|744-3|26487-9
HP:0012343,HP:0003281,2276-4|35209-6|20567-4
HP:0012364,HP:0003081,2829-0|11148-4
HP:0012405,HP:0012406,6687-8
HP:0012417,HP:0012416,2028-9|2019-8|2021-4|32771-8|11557-6|20565-8|34728-6|16551-4|2020-6|2027-1|41647-9
HP:0012418,HP:0012419,28642-7|71847-8|11556-8|2708-6|2703-7|19214-6|19255-9|2704-5|2705-2|2709-4|51733-4|59408-5
HP:0012545,HP:0012544,1761-6
HP:0012601,HP:0002914,2078-4
HP:0012604,HP:0012605,2955-3|2956-1|21525-1
HP:0012609,HP:0012608,19124-7
HP:0020060,HP:0020059,16828-6|789-8|790-6
HP:0020062,HP:0020063,718-7|20509-6
HP:0025022,HP:0003565,4537-7|30341-2
HP:0025066,HP:0005518,787-2|23860-0|30386-7|784-9|30428-7
HP:0025137,HP:0025136,21264-7
HP:0025347,HP:0025346,1952-1
HP:0025457,HP:0002922,2880-3|76665-9|76666-7|76667-5|76668-3
HP:0025547,HP:0025548,785-6|786-4
HP:0030086,HP:0002490,2520-5|27941-4|54309-0|75040-6
HP:0030341,HP:0008232,15067-2
HP:0030344,HP:0011969,10501-5|12672-2|12673-0|12674-8|12675-5|12676-3|12677-1|12678-9|12679-7|12680-5|12681-3|12682-1|12683-9|12684-7|1588-3|1592-5|1594-1|1596-6|1599-0|1600-6|17094-4|17095-1|20419-8|2290-5|25717-0|25718-8|25719-6|25720-4|2578-3|2579-1|2582-5|2583-3|25943-2|25944-0|25945-7|25946-5|25947-3|25948-1|25949-9|25950-7|25951-5|26823-5|27848-1|27851-5|27853-1|27854-9|27855-6|27858-0|27883-8|27884-6|27885-3|32326-1|32327-9|32328-7|32599-3|32606-6|32995-3|33826-9|33827-7|33828-5|33829-3|34055-4|34434-1|40373-3|40374-1|40375-8|40376-6|40377-4|40378-2|46414-9|46415-6|47687-9|47688-7|47864-4|48118-4|48581-3|48582-1|48583-9|50509-9|50510-7|50511-5|50512-3|50513-1|50514-9|50515-6|50516-4|53145-9|55501-1|56493-0|56494-8|56495-5|57102-6|57103-4|57104-2|57105-9|57106-7|57107-5|58946-5|83103-2
HP:0030349,HP:0030348,47941-0|47946-9
HP:0030353,HP:0030269,32023-4|2484-4
HP:0030795,HP:0011227,1988-5|30522-7
HP:0030795,HP:0030796,1986-9|25568-7|25569-5|25570-3|25571-1|25572-9|25573-7|25574-5|25575-2|25576-0|25577-8|25578-6|25579-4|25580-2|25581-0|25582-8|27408-4|27421-7|27839-0|38249-9|38421-4|38422-2|38423-0|38424-8|38425-5|38426-3|42180-0|47583-0|47584-8|47585-5|47586-3|47587-1|47588-9|47589-7|47590-5|47591-3|47592-1|47593-9|47594-7|47595-4|47832-1|47833-9|47834-7|50461-3|50462-1|50463-9|50464-7|50465-4|50466-2|50467-0|50468-8|55918-7|55919-5|56516-8|56582-0|56583-8|56584-6|57376-6|57645-4|57646-2|57647-0|57648-8|57649-6|57650-4|57651-2|57894-8|58494-6|58495-3|58496-1|58497-9|58498-7|58499-5|58500-0|58501-8|58502-6|58503-4|58504-2|58505-9|58506-7|58507-5|58508-3|58509-1|58510-9|58511-7|58512-5|58513-3|58514-1|58515-8|58516-6|58517-4|58518-2|58519-0|58520-8|58521-6|58522-4|58686-7|58816-0|58841-8|58896-2|77610-4|77611-2|77612-0|77651-8|77652-6|13032-8|13033-6|13034-4|13035-1|13036-9|13037-7|13038-5|13039-3|13040-1|13041-9|13042-7|13043-5|13044-3|13045-0|13859-4|13860-2|13861-0|14633-2|16501-9|16502-7
HP:0030985,HP:0012202,14628-2
HP:0031098,HP:0002925,30166-3|30567-2|3016-3
HP:0031103,HP:0031102,38476-8
HP:0031209,HP:0012379,2572-6
HP:0031243,HP:0003362,2091-7|25371-6|66126-4|49133-2|48618-3|46986-6|35199-9|13458-5|13459-3|14155-6|16615-7|49624-0|50192-4|66499-5|70203-5
HP:0031397,HP:0031398,13336-3|17153-8|26759-1|34932-4|34933-2|34936-5|43962-0|43963-8|43964-6|43965-3
HP:0031429,HP:0031428,2697-1
HP:0031507,HP:0031506,3024-7|3026-2|32215-6|3051-0|6892-4
HP:0031808,HP:0031807,30180-4|26444-0|704-7|705-4|707-0|706-2
HP:0031831,HP:0011424,5763-8
HP:0031851,HP:0001899,4544-3|16931-8|17809-5|20570-8|24360-0|30398-2|31100-1|32354-3|41654-5|41655-2|42908-4|43416-7|4545-0|47640-8|48703-3|55781-9|62241-5|70168-0|70169-8|71828-8|71829-6|71830-4|71831-2|71832-0|71833-8
HP:0031891,HP:0001880,26450-7|26449-9|713-8|714-6
HP:0031902,HP:0031901,21582-2
HP:0031906,HP:0031905,4532-8
HP:0031963,HP:0031962,33037-3|10466-1|41276-7
HP:0031969,HP:0003138,3094-0|12962-7|3097-3|6299-2
